close,rec_date,volume,name,symbol
79.2300033600,2017-08-22,1373000,AmerisourceBergen Corporation,ABC
78.1399993900,2017-08-23,1455700,AmerisourceBergen Corporation,ABC
78.4000015300,2017-08-24,1191100,AmerisourceBergen Corporation,ABC
78.0999984700,2017-08-25,1154300,AmerisourceBergen Corporation,ABC
78.6600036600,2017-08-28,1210900,AmerisourceBergen Corporation,ABC
78.5599975600,2017-08-29,1279600,AmerisourceBergen Corporation,ABC
78.3300018300,2017-08-30,1267000,AmerisourceBergen Corporation,ABC
80.2500000000,2017-08-31,1301200,AmerisourceBergen Corporation,ABC
80.2399978600,2017-09-01,1248400,AmerisourceBergen Corporation,ABC
79.6900024400,2017-09-05,1123800,AmerisourceBergen Corporation,ABC
80.7200012200,2017-09-06,1308300,AmerisourceBergen Corporation,ABC
82.5599975600,2017-09-07,1825300,AmerisourceBergen Corporation,ABC
82.5000000000,2017-09-08,1936800,AmerisourceBergen Corporation,ABC
84.3899993900,2017-09-11,1230800,AmerisourceBergen Corporation,ABC
83.9000015300,2017-09-12,1809600,AmerisourceBergen Corporation,ABC
84.3199996900,2017-09-13,1310900,AmerisourceBergen Corporation,ABC
80.6900024400,2017-09-14,2872100,AmerisourceBergen Corporation,ABC
81.5999984700,2017-09-15,2732300,AmerisourceBergen Corporation,ABC
80.6699981700,2017-09-18,1350600,AmerisourceBergen Corporation,ABC
79.2799987800,2017-09-19,1648500,AmerisourceBergen Corporation,ABC
79.5000000000,2017-09-20,1325000,AmerisourceBergen Corporation,ABC
80.3799972500,2017-09-21,1035900,AmerisourceBergen Corporation,ABC
81.0500030500,2017-09-22,835900,AmerisourceBergen Corporation,ABC
80.9800033600,2017-09-25,717100,AmerisourceBergen Corporation,ABC
82.0000000000,2017-09-26,1018500,AmerisourceBergen Corporation,ABC
82.4300003100,2017-09-27,960900,AmerisourceBergen Corporation,ABC
80.9899978600,2017-09-28,1120300,AmerisourceBergen Corporation,ABC
82.7500000000,2017-09-29,1629400,AmerisourceBergen Corporation,ABC
83.3000030500,2017-10-02,1933000,AmerisourceBergen Corporation,ABC
82.8799972500,2017-10-03,1141700,AmerisourceBergen Corporation,ABC
82.7399978600,2017-10-04,2206900,AmerisourceBergen Corporation,ABC
84.1200027500,2017-10-05,2136200,AmerisourceBergen Corporation,ABC
80.4800033600,2017-10-06,2919900,AmerisourceBergen Corporation,ABC
78.3499984700,2017-10-09,2644100,AmerisourceBergen Corporation,ABC
79.5500030500,2017-10-10,1620300,AmerisourceBergen Corporation,ABC
80.3199996900,2017-10-11,1004600,AmerisourceBergen Corporation,ABC
80.8000030500,2017-10-12,1195300,AmerisourceBergen Corporation,ABC
79.4400024400,2017-10-13,2469300,AmerisourceBergen Corporation,ABC
79.0000000000,2017-10-16,2545500,AmerisourceBergen Corporation,ABC
79.9499969500,2017-10-17,1043900,AmerisourceBergen Corporation,ABC
80.4899978600,2017-10-18,1699300,AmerisourceBergen Corporation,ABC
82.1999969500,2017-10-19,1436400,AmerisourceBergen Corporation,ABC
83.2099990800,2017-10-20,1296800,AmerisourceBergen Corporation,ABC
82.5299987800,2017-10-23,1115700,AmerisourceBergen Corporation,ABC
81.8499984700,2017-10-24,1166000,AmerisourceBergen Corporation,ABC
82.2200012200,2017-10-25,1428600,AmerisourceBergen Corporation,ABC
78.7699966400,2017-10-26,4756200,AmerisourceBergen Corporation,ABC
76.3799972500,2017-10-27,4690500,AmerisourceBergen Corporation,ABC
76.9300003100,2017-10-30,2164900,AmerisourceBergen Corporation,ABC
76.9499969500,2017-10-31,3132800,AmerisourceBergen Corporation,ABC
76.6200027500,2017-11-01,2545700,AmerisourceBergen Corporation,ABC
73.2300033600,2017-11-02,3840200,AmerisourceBergen Corporation,ABC
74.8000030500,2017-11-03,2726000,AmerisourceBergen Corporation,ABC
74.8600006100,2017-11-06,3478300,AmerisourceBergen Corporation,ABC
74.9100036600,2017-11-07,1776800,AmerisourceBergen Corporation,ABC
75.0100021400,2017-11-08,1710100,AmerisourceBergen Corporation,ABC
75.2699966400,2017-11-09,2576800,AmerisourceBergen Corporation,ABC
75.0000000000,2017-11-10,3005700,AmerisourceBergen Corporation,ABC
75.4000015300,2017-11-13,2892600,AmerisourceBergen Corporation,ABC
75.4000015300,2017-11-14,1863300,AmerisourceBergen Corporation,ABC
77.5299987800,2017-11-15,2731000,AmerisourceBergen Corporation,ABC
80.3099975600,2017-11-16,2986800,AmerisourceBergen Corporation,ABC
78.8399963400,2017-11-17,2196700,AmerisourceBergen Corporation,ABC
77.4599990800,2017-11-20,1688200,AmerisourceBergen Corporation,ABC
79.4599990800,2017-11-21,1598700,AmerisourceBergen Corporation,ABC
81.4000015300,2017-11-22,1927000,AmerisourceBergen Corporation,ABC
